Year,Job_Title,Salary_USD,Industry,Location,Experience_Level,AI_Adoption_Level,Required_Skills,Job_Openings,Remote_Work,Growth_Rate,Company_Size,Job_Type,Gender_Diversity_Index,Hiring_Frequency,Skill_Complexity
2013,AI Researcher,69334,Manufacturing,San Francisco,Junior,Medium,"Sales, CRM, TensorFlow, PyTorch",266,Hybrid,3.3,Large (>500 employees),Full-time,0.56,High,High
2016,AI Engineer,100400,Finance,Houston,Mid,Low,"Sales, CRM, TensorFlow, PyTorch",133,No,10.8,Large (>500 employees),Full-time,0.82,Medium,Low
2024,AI Researcher,64086,Healthcare,San Francisco,Junior,Low,"Python, ML, AI, TensorFlow, PyTorch",60,No,11.2,Small (<50 employees),Contract,0.83,High,Medium
2016,Data Scientist,83968,Research,Houston,Senior,High,"AI, Research",143,Yes,19.1,Small (<50 employees),Part-time,0.92,High,Low
2022,Data Scientist,82080,Healthcare,Austin,Junior,Medium,"AI, Research",319,Yes,21.4,Small (<50 employees),Contract,0.72,High,Low
2021,Data Scientist,143400,Retail,Boston,Mid,Medium,"Sales, CRM",172,Hybrid,16.3,Small (<50 employees),Part-time,0.61,High,Medium
2010,Data Scientist,114631,Technology,Boston,Senior,Low,"Python, ML, AI",226,Hybrid,18.6,Small (<50 employees),Part-time,0.63,High,Medium
2015,Salesforce Developer,146859,Manufacturing,Boston,Mid,High,"Python, ML, AI",73,Yes,21.3,Large (>500 employees),Internship,0.26,Medium,Low
2021,Data Scientist,100357,Healthcare,New York,Mid,High,"Python, SQL, Stats",246,Yes,15.4,Large (>500 employees),Full-time,0.98,High,Medium
2015,AI Researcher,79206,Retail,San Francisco,Senior,High,"Python, SQL, Stats, TensorFlow, PyTorch",394,No,6.1,Small (<50 employees),Part-time,0.98,High,High
2018,Data Scientist,72113,Retail,Chicago,Junior,Low,"Python, ML, AI",435,No,20.0,Medium (50-500 employees),Part-time,0.72,Low,Medium
2018,AI Engineer,117823,Retail,San Jose,Mid,High,"Python, ML, AI, TensorFlow, PyTorch",297,Yes,9.7,Large (>500 employees),Full-time,0.41,High,Medium
2010,AI Researcher,94779,Technology,Chicago,Mid,Medium,"AI, Research, TensorFlow, PyTorch",278,Yes,4.6,Medium (50-500 employees),Contract,0.15,High,Medium
2023,AI Researcher,116344,Research,Houston,Mid,High,"Python, SQL, Stats, TensorFlow, PyTorch",224,No,21.6,Small (<50 employees),Part-time,0.82,High,Medium
2012,ML Engineer,81431,Finance,Houston,Senior,Medium,"Python, ML, AI, TensorFlow, PyTorch",84,Yes,4.3,Small (<50 employees),Internship,0.32,Medium,High
2011,AI Engineer,137767,Manufacturing,Chicago,Junior,Low,"Python, SQL, Stats, TensorFlow, PyTorch",491,Yes,16.2,Medium (50-500 employees),Full-time,0.82,High,Low
2014,Data Scientist,108817,Education,Seattle,Mid,Medium,"Sales, CRM",343,No,17.8,Medium (50-500 employees),Full-time,0.74,High,High
2012,Data Scientist,149116,Healthcare,Seattle,Junior,Low,"Python, SQL, Stats",92,No,8.8,Large (>500 employees),Internship,0.44,Medium,Low
2020,AI Engineer,85546,Retail,Houston,Junior,Medium,"Python, SQL, Stats, TensorFlow, PyTorch",187,Yes,17.7,Medium (50-500 employees),Full-time,0.14,Low,High
2024,AI Researcher,109321,Research,Chicago,Mid,High,"Sales, CRM, TensorFlow, PyTorch",450,No,24.5,Small (<50 employees),Internship,0.63,High,High
2022,DL Engineer,60125,Research,Boston,Mid,Medium,"Sales, CRM, TensorFlow, PyTorch",338,Hybrid,1.9,Small (<50 employees),Internship,0.47,High,High
2024,ML Engineer,132310,Research,San Francisco,Mid,Low,"Sales, CRM, TensorFlow, PyTorch",250,No,14.3,Small (<50 employees),Internship,0.51,Medium,Medium
2010,AI Researcher,96514,Retail,New York,Junior,High,"Sales, CRM, TensorFlow, PyTorch",208,Yes,17.1,Small (<50 employees),Part-time,0.53,Medium,Medium
2015,AI Engineer,103711,Retail,New York,Senior,Medium,"Python, ML, AI, TensorFlow, PyTorch",160,Hybrid,17.2,Medium (50-500 employees),Internship,0.11,Medium,Low
2011,AI Researcher,94859,Retail,San Jose,Senior,Low,"Sales, CRM, TensorFlow, PyTorch",390,Yes,2.0,Medium (50-500 employees),Part-time,0.24,Medium,High
2019,Data Scientist,114332,Technology,San Jose,Junior,Medium,"AI, Research",495,Yes,22.5,Medium (50-500 employees),Part-time,0.45,Medium,High
2014,Salesforce Developer,108529,Manufacturing,Seattle,Mid,High,"Python, SQL, Stats",162,No,11.9,Large (>500 employees),Part-time,0.7,High,Medium
2012,AI Engineer,128334,Research,Houston,Mid,Low,"Python, SQL, Stats, TensorFlow, PyTorch",61,No,11.9,Medium (50-500 employees),Full-time,0.95,Low,High
2020,ML Engineer,128413,Research,Miami,Junior,Low,"AI, Research, TensorFlow, PyTorch",65,Yes,13.0,Medium (50-500 employees),Internship,0.3,High,Low
2021,AI Researcher,139630,Education,San Jose,Junior,Low,"Python, ML, AI, TensorFlow, PyTorch",327,Hybrid,17.2,Small (<50 employees),Contract,0.57,Medium,Low
2022,DL Engineer,146264,Manufacturing,Boston,Senior,Low,"Python, ML, AI, TensorFlow, PyTorch",234,No,5.7,Medium (50-500 employees),Part-time,0.31,High,High
2024,AI Researcher,147644,Healthcare,Austin,Junior,Medium,"Python, SQL, Stats, TensorFlow, PyTorch",160,No,16.1,Small (<50 employees),Part-time,0.28,Low,Medium
2014,Salesforce Developer,107059,Manufacturing,Austin,Senior,High,"AI, Research",209,Hybrid,18.8,Small (<50 employees),Contract,0.8,Medium,Medium
2021,Salesforce Developer,61338,Technology,San Francisco,Junior,Medium,"Python, SQL, Stats",85,No,2.8,Large (>500 employees),Full-time,0.34,High,High
2015,AI Researcher,139572,Finance,New York,Junior,Medium,"Python, SQL, Stats, TensorFlow, PyTorch",279,No,12.6,Small (<50 employees),Part-time,0.43,Low,Medium
2020,Salesforce Administrator,89795,Manufacturing,New York,Mid,High,"Python, ML, AI",53,Yes,22.6,Small (<50 employees),Part-time,0.65,High,High
2015,AI Researcher,123440,Retail,San Jose,Mid,High,"Python, ML, AI, TensorFlow, PyTorch",217,No,2.2,Large (>500 employees),Full-time,0.92,Low,High
2012,DL Engineer,89795,Research,Austin,Junior,Medium,"Python, ML, AI, TensorFlow, PyTorch",484,Hybrid,7.5,Large (>500 employees),Contract,0.23,Low,High
2015,AI Researcher,136300,Technology,Houston,Junior,Low,"Sales, CRM, TensorFlow, PyTorch",433,No,15.1,Large (>500 employees),Part-time,1.0,High,Medium
2022,Data Scientist,145387,Research,Miami,Junior,Low,"Python, ML, AI",287,No,13.0,Small (<50 employees),Full-time,0.61,High,Medium
2021,AI Engineer,130746,Technology,San Francisco,Senior,Medium,"Sales, CRM, TensorFlow, PyTorch",390,Hybrid,15.5,Small (<50 employees),Part-time,0.66,Medium,Medium
2018,AI Researcher,110620,Research,Boston,Mid,High,"Sales, CRM, TensorFlow, PyTorch",63,Hybrid,20.4,Medium (50-500 employees),Part-time,0.74,Low,Medium
2018,Data Scientist,113540,Healthcare,Boston,Junior,Low,"Sales, CRM",114,Hybrid,1.1,Large (>500 employees),Full-time,0.54,High,Low
2010,Salesforce Administrator,130361,Manufacturing,Boston,Senior,Medium,"Python, ML, AI",334,No,1.3,Large (>500 employees),Full-time,0.8,Low,Medium
2020,AI Researcher,99837,Research,Houston,Junior,Low,"Python, ML, AI, TensorFlow, PyTorch",280,Hybrid,17.3,Large (>500 employees),Full-time,0.93,Low,Low
2018,ML Engineer,82195,Manufacturing,Chicago,Senior,Medium,"Python, SQL, Stats, TensorFlow, PyTorch",324,Hybrid,22.8,Large (>500 employees),Contract,0.89,Medium,High
2014,AI Researcher,130807,Technology,San Francisco,Mid,High,"AI, Research, TensorFlow, PyTorch",284,No,14.6,Small (<50 employees),Full-time,0.83,High,High
2017,AI Researcher,75827,Retail,Chicago,Mid,Medium,"Python, ML, AI, TensorFlow, PyTorch",62,Hybrid,11.7,Large (>500 employees),Contract,0.64,Low,High
2014,DL Engineer,142732,Finance,Austin,Senior,Medium,"AI, Research, TensorFlow, PyTorch",227,No,5.9,Medium (50-500 employees),Internship,0.42,High,High
2018,Salesforce Developer,137321,Education,Seattle,Mid,High,"Python, SQL, Stats",332,No,8.1,Large (>500 employees),Part-time,0.2,Medium,High
2011,Data Scientist,72973,Technology,San Jose,Mid,Low,"Python, SQL, Stats",489,Yes,8.0,Small (<50 employees),Part-time,0.49,High,Medium
2020,Salesforce Consultant,115726,Education,Austin,Mid,High,"Sales, CRM",402,Yes,18.8,Small (<50 employees),Contract,0.42,Medium,Medium
2020,AI Researcher,117942,Finance,New York,Senior,Medium,"Sales, CRM, TensorFlow, PyTorch",264,No,15.4,Small (<50 employees),Full-time,0.78,Medium,Low
2023,Data Scientist,106354,Manufacturing,Boston,Junior,Low,"Python, ML, AI",295,No,16.3,Small (<50 employees),Full-time,0.89,Medium,Medium
2014,AI Engineer,123602,Education,San Francisco,Junior,Medium,"Sales, CRM, TensorFlow, PyTorch",500,No,1.7,Small (<50 employees),Internship,0.61,High,Low
2014,Data Scientist,147894,Technology,Boston,Senior,High,"AI, Research",94,No,1.0,Small (<50 employees),Full-time,0.23,Low,Medium
2016,AI Researcher,146513,Manufacturing,San Jose,Junior,High,"AI, Research, TensorFlow, PyTorch",70,No,5.9,Small (<50 employees),Full-time,0.36,Medium,Medium
2018,AI Researcher,122888,Healthcare,San Jose,Junior,Low,"Sales, CRM, TensorFlow, PyTorch",221,No,22.2,Medium (50-500 employees),Contract,0.17,Low,High
2020,AI Researcher,96425,Research,San Francisco,Mid,Medium,"Sales, CRM, TensorFlow, PyTorch",279,Hybrid,11.0,Small (<50 employees),Internship,0.2,High,Medium
2012,Data Scientist,99207,Research,Chicago,Junior,Medium,"AI, Research",436,No,22.9,Small (<50 employees),Internship,0.64,High,Low
2024,AI Engineer,113743,Research,Austin,Mid,High,"Sales, CRM, TensorFlow, PyTorch",319,Yes,12.9,Large (>500 employees),Part-time,0.16,Medium,Medium
2019,Salesforce Developer,81600,Education,Miami,Junior,High,"AI, Research",222,Yes,12.3,Large (>500 employees),Part-time,0.13,High,Medium
2013,Data Scientist,83104,Education,Seattle,Senior,Medium,"AI, Research",138,No,4.5,Large (>500 employees),Part-time,0.38,Medium,High
2014,Salesforce Administrator,63987,Manufacturing,San Jose,Junior,Medium,"AI, Research",381,Hybrid,13.4,Large (>500 employees),Contract,0.58,High,High
2022,AI Researcher,127664,Technology,Austin,Junior,Low,"AI, Research, TensorFlow, PyTorch",414,No,20.6,Small (<50 employees),Part-time,0.32,High,High
2017,Salesforce Consultant,132576,Finance,Chicago,Senior,Medium,"AI, Research",354,Hybrid,2.2,Medium (50-500 employees),Full-time,0.56,Medium,Medium
2010,AI Engineer,139286,Finance,Miami,Senior,Low,"Python, ML, AI, TensorFlow, PyTorch",325,No,24.1,Large (>500 employees),Part-time,1.0,Medium,Medium
2019,AI Researcher,146142,Technology,San Francisco,Junior,Medium,"AI, Research, TensorFlow, PyTorch",241,No,8.7,Small (<50 employees),Part-time,0.18,Medium,Medium
2016,Salesforce Consultant,113992,Research,Seattle,Senior,Medium,"AI, Research",83,No,15.2,Large (>500 employees),Contract,0.7,Medium,High
2016,AI Researcher,106207,Education,Chicago,Junior,Medium,"Sales, CRM, TensorFlow, PyTorch",494,Yes,1.2,Medium (50-500 employees),Contract,0.44,High,High
2021,Salesforce Consultant,96772,Manufacturing,Miami,Junior,Medium,"Python, SQL, Stats",343,No,13.2,Small (<50 employees),Internship,0.19,Medium,High
2021,ML Engineer,110576,Manufacturing,San Jose,Junior,High,"Sales, CRM, TensorFlow, PyTorch",457,Hybrid,11.5,Large (>500 employees),Part-time,0.53,Low,Low
2020,Salesforce Developer,61536,Manufacturing,Chicago,Senior,Low,"AI, Research",493,Yes,8.1,Medium (50-500 employees),Full-time,0.13,Medium,Medium
2020,AI Engineer,86718,Technology,Miami,Senior,Medium,"AI, Research, TensorFlow, PyTorch",237,Hybrid,22.3,Medium (50-500 employees),Full-time,0.7,High,Medium
2021,AI Researcher,143719,Technology,San Jose,Junior,High,"AI, Research, TensorFlow, PyTorch",379,Hybrid,10.3,Medium (50-500 employees),Part-time,0.56,High,Medium
2020,DL Engineer,149250,Technology,Boston,Senior,Medium,"AI, Research, TensorFlow, PyTorch",321,Hybrid,24.3,Small (<50 employees),Contract,0.53,High,High
2020,AI Researcher,68569,Finance,Boston,Mid,Medium,"Python, ML, AI, TensorFlow, PyTorch",347,Yes,6.6,Large (>500 employees),Full-time,0.33,Medium,High
2017,DL Engineer,89507,Education,Houston,Mid,Medium,"Python, ML, AI, TensorFlow, PyTorch",266,No,6.0,Medium (50-500 employees),Full-time,0.26,Medium,Medium
2024,ML Engineer,144387,Healthcare,Boston,Mid,Low,"Sales, CRM, TensorFlow, PyTorch",59,Hybrid,24.5,Large (>500 employees),Full-time,0.54,Low,High
2022,ML Engineer,80696,Healthcare,Austin,Mid,Medium,"Python, SQL, Stats, TensorFlow, PyTorch",134,No,11.9,Small (<50 employees),Full-time,0.98,High,Medium
2011,Salesforce Developer,81043,Manufacturing,Houston,Mid,Low,"Sales, CRM",210,Hybrid,24.6,Small (<50 employees),Internship,0.17,High,Medium
2011,ML Engineer,137051,Finance,New York,Senior,Medium,"Python, SQL, Stats, TensorFlow, PyTorch",65,Yes,15.2,Small (<50 employees),Part-time,0.83,Medium,Medium
2021,DL Engineer,97337,Finance,San Jose,Junior,High,"AI, Research, TensorFlow, PyTorch",220,No,24.6,Large (>500 employees),Internship,0.66,High,Medium
2011,AI Researcher,120734,Education,San Jose,Senior,Low,"Python, SQL, Stats, TensorFlow, PyTorch",380,Hybrid,11.1,Small (<50 employees),Internship,0.13,Low,High
2024,Salesforce Administrator,129391,Manufacturing,San Jose,Mid,Medium,"Sales, CRM",289,No,4.6,Large (>500 employees),Full-time,0.16,High,High
2018,Salesforce Administrator,66118,Research,Austin,Junior,Medium,"AI, Research",318,No,3.1,Large (>500 employees),Internship,0.61,High,Low
2014,AI Researcher,68028,Manufacturing,Chicago,Senior,Medium,"Python, ML, AI, TensorFlow, PyTorch",109,Hybrid,24.9,Medium (50-500 employees),Internship,0.29,Low,Medium
2020,AI Researcher,94519,Technology,New York,Junior,High,"Python, ML, AI, TensorFlow, PyTorch",239,No,1.0,Medium (50-500 employees),Contract,0.93,High,High
2013,AI Researcher,62881,Retail,San Jose,Senior,High,"Python, SQL, Stats, TensorFlow, PyTorch",66,Yes,10.7,Medium (50-500 employees),Contract,0.58,Medium,Medium
2022,DL Engineer,64861,Education,San Francisco,Senior,Medium,"Sales, CRM, TensorFlow, PyTorch",300,No,13.2,Large (>500 employees),Internship,0.76,High,High
2011,AI Researcher,145659,Finance,Miami,Mid,Medium,"Python, ML, AI, TensorFlow, PyTorch",484,Yes,5.2,Small (<50 employees),Full-time,0.16,Medium,Medium
2010,AI Researcher,61392,Research,San Francisco,Senior,Medium,"Sales, CRM, TensorFlow, PyTorch",295,Hybrid,17.9,Small (<50 employees),Part-time,0.55,High,Medium
2015,Data Scientist,127330,Education,New York,Senior,High,"Sales, CRM",329,No,2.9,Large (>500 employees),Contract,0.15,Medium,Low
2018,AI Engineer,125286,Manufacturing,Miami,Mid,High,"AI, Research, TensorFlow, PyTorch",283,No,7.6,Large (>500 employees),Full-time,0.69,High,Medium
2016,AI Researcher,141122,Healthcare,Boston,Senior,Medium,"Python, ML, AI, TensorFlow, PyTorch",73,Hybrid,22.8,Medium (50-500 employees),Full-time,0.43,High,Medium
2022,Salesforce Administrator,123459,Research,Seattle,Mid,High,"Python, SQL, Stats",166,Yes,21.9,Medium (50-500 employees),Internship,0.58,Medium,High
2012,AI Researcher,76023,Retail,Austin,Junior,Low,"Python, SQL, Stats, TensorFlow, PyTorch",230,No,12.1,Large (>500 employees),Internship,0.53,Medium,Medium
2023,AI Researcher,66396,Technology,Houston,Mid,Low,"Python, ML, AI, TensorFlow, PyTorch",146,Yes,8.3,Medium (50-500 employees),Full-time,0.55,High,Low
2011,ML Engineer,132778,Research,Seattle,Senior,Low,"Python, SQL, Stats, TensorFlow, PyTorch",227,No,4.1,Small (<50 employees),Part-time,0.92,Medium,High
2019,Salesforce Developer,92318,Finance,Boston,Senior,Low,"Python, SQL, Stats",69,Hybrid,18.5,Large (>500 employees),Full-time,0.27,High,Medium
2021,Data Scientist,100610,Manufacturing,Seattle,Mid,Low,"Python, ML, AI",464,Hybrid,17.3,Small (<50 employees),Internship,0.14,Medium,Low
2012,AI Researcher,112024,Technology,San Francisco,Senior,Low,"Python, SQL, Stats, TensorFlow, PyTorch",367,Yes,3.2,Large (>500 employees),Contract,0.48,High,Medium
2014,AI Engineer,111532,Retail,Seattle,Mid,Low,"AI, Research, TensorFlow, PyTorch",414,No,8.1,Large (>500 employees),Internship,0.44,High,Medium
2021,Salesforce Consultant,118077,Healthcare,San Jose,Mid,High,"Sales, CRM",192,Hybrid,16.8,Large (>500 employees),Part-time,0.79,High,Medium
2018,Salesforce Administrator,64674,Healthcare,Boston,Senior,High,"Python, SQL, Stats",287,Hybrid,5.9,Large (>500 employees),Full-time,0.81,Medium,Medium
2017,Data Scientist,116446,Education,San Jose,Junior,High,"Python, ML, AI",210,Yes,9.9,Medium (50-500 employees),Internship,0.44,Medium,High
2023,Salesforce Developer,88427,Education,San Francisco,Junior,Medium,"Python, SQL, Stats",254,Yes,15.3,Medium (50-500 employees),Part-time,0.45,High,High
2012,Salesforce Developer,119284,Research,San Jose,Senior,Low,"Python, ML, AI",168,Hybrid,16.7,Small (<50 employees),Part-time,0.4,High,Medium
2010,ML Engineer,60737,Retail,Boston,Mid,Low,"Python, SQL, Stats, TensorFlow, PyTorch",101,Yes,15.2,Large (>500 employees),Internship,0.33,High,High
2017,AI Researcher,134540,Retail,Houston,Mid,High,"Python, SQL, Stats, TensorFlow, PyTorch",152,Yes,12.7,Medium (50-500 employees),Part-time,0.39,Medium,High
2013,Data Scientist,122697,Healthcare,Boston,Senior,Low,"Python, SQL, Stats",53,No,2.0,Small (<50 employees),Internship,0.92,Medium,Low
2023,Data Scientist,122225,Manufacturing,Houston,Mid,High,"AI, Research",386,Yes,11.4,Medium (50-500 employees),Part-time,0.69,High,High
2014,Salesforce Developer,113996,Technology,New York,Junior,High,"Python, SQL, Stats",482,Hybrid,19.9,Small (<50 employees),Internship,0.52,Medium,High
2012,Salesforce Developer,81806,Retail,New York,Mid,High,"Python, SQL, Stats",249,Hybrid,15.1,Medium (50-500 employees),Part-time,0.52,Low,Medium
2014,Salesforce Consultant,121936,Research,San Jose,Senior,High,"Python, ML, AI",160,Hybrid,8.4,Small (<50 employees),Full-time,0.25,High,High
2016,AI Engineer,62930,Technology,Miami,Senior,High,"Python, SQL, Stats, TensorFlow, PyTorch",132,Hybrid,17.0,Small (<50 employees),Internship,0.82,Low,High
2011,AI Engineer,140995,Education,New York,Junior,High,"AI, Research, TensorFlow, PyTorch",172,Yes,9.8,Medium (50-500 employees),Part-time,0.41,High,High
2016,Data Scientist,129353,Education,Austin,Senior,High,"Python, SQL, Stats",347,Yes,19.5,Large (>500 employees),Contract,0.69,Medium,Medium
2019,Data Scientist,126589,Technology,Chicago,Junior,High,"Python, SQL, Stats",308,Hybrid,17.6,Large (>500 employees),Full-time,0.95,High,High
2012,DL Engineer,84587,Technology,Seattle,Mid,Low,"Python, SQL, Stats, TensorFlow, PyTorch",58,No,24.2,Small (<50 employees),Part-time,0.24,High,Medium
2016,Salesforce Consultant,93949,Research,Houston,Junior,Medium,"Sales, CRM",219,Yes,19.2,Small (<50 employees),Full-time,0.39,High,High
2023,Salesforce Consultant,88121,Healthcare,Boston,Mid,Medium,"Python, ML, AI",281,Hybrid,17.7,Large (>500 employees),Part-time,0.15,Medium,Medium
2023,Salesforce Administrator,118205,Technology,Seattle,Junior,Low,"AI, Research",76,Yes,10.6,Small (<50 employees),Full-time,0.84,High,Medium
2018,AI Researcher,72847,Retail,Austin,Senior,High,"Sales, CRM, TensorFlow, PyTorch",141,Hybrid,1.6,Medium (50-500 employees),Internship,0.98,Medium,High
2017,Data Scientist,83317,Manufacturing,Chicago,Mid,Medium,"AI, Research",144,Hybrid,24.5,Small (<50 employees),Contract,0.57,Medium,Medium
2019,AI Researcher,133278,Technology,Chicago,Mid,Low,"Sales, CRM, TensorFlow, PyTorch",377,Hybrid,6.2,Small (<50 employees),Full-time,0.87,Medium,High
2011,DL Engineer,75922,Retail,Chicago,Mid,High,"Sales, CRM, TensorFlow, PyTorch",491,Hybrid,23.0,Large (>500 employees),Part-time,0.61,Medium,Medium
2015,ML Engineer,67429,Healthcare,Miami,Senior,High,"Sales, CRM, TensorFlow, PyTorch",289,Yes,5.6,Large (>500 employees),Full-time,0.99,High,High
2019,Salesforce Developer,79292,Retail,New York,Junior,Medium,"Python, SQL, Stats",432,Hybrid,8.2,Large (>500 employees),Internship,0.36,High,Medium
2021,AI Researcher,120116,Manufacturing,Austin,Senior,High,"Python, SQL, Stats, TensorFlow, PyTorch",61,Yes,17.0,Medium (50-500 employees),Full-time,0.95,Low,Medium
2016,Data Scientist,125458,Education,Seattle,Mid,Low,"Python, ML, AI",157,Hybrid,20.0,Medium (50-500 employees),Contract,0.79,High,High
2016,AI Researcher,73689,Healthcare,New York,Mid,Low,"Python, SQL, Stats, TensorFlow, PyTorch",309,No,19.7,Large (>500 employees),Full-time,0.66,Medium,High
2014,AI Researcher,125598,Manufacturing,San Jose,Senior,Low,"Python, ML, AI, TensorFlow, PyTorch",380,Yes,16.8,Large (>500 employees),Part-time,0.37,High,High
2010,Salesforce Consultant,134555,Retail,Houston,Mid,Low,"Python, SQL, Stats",106,Yes,17.4,Medium (50-500 employees),Full-time,0.61,Medium,High
2018,AI Engineer,61044,Manufacturing,Austin,Junior,Low,"AI, Research, TensorFlow, PyTorch",174,Hybrid,15.2,Medium (50-500 employees),Contract,0.9,Medium,High
2023,AI Researcher,127020,Healthcare,Houston,Mid,Low,"AI, Research, TensorFlow, PyTorch",139,Hybrid,5.0,Small (<50 employees),Part-time,0.8,Low,High
2012,Data Scientist,116734,Retail,New York,Mid,High,"Python, ML, AI",322,Hybrid,20.2,Medium (50-500 employees),Internship,0.95,Medium,Low
2016,AI Researcher,87127,Retail,Chicago,Senior,Medium,"Python, SQL, Stats, TensorFlow, PyTorch",147,Hybrid,14.7,Small (<50 employees),Contract,0.56,Medium,Low
2018,Data Scientist,125640,Manufacturing,New York,Junior,Medium,"Python, SQL, Stats",409,Hybrid,6.0,Medium (50-500 employees),Full-time,0.79,High,Medium
2016,AI Engineer,148707,Retail,New York,Junior,Medium,"Python, ML, AI, TensorFlow, PyTorch",455,Hybrid,23.2,Medium (50-500 employees),Part-time,0.23,Low,Low
2013,Data Scientist,115836,Retail,New York,Senior,Low,"Sales, CRM",264,No,3.8,Medium (50-500 employees),Full-time,0.32,High,High
2016,Salesforce Consultant,86125,Finance,San Francisco,Junior,Medium,"Python, ML, AI",386,No,18.8,Large (>500 employees),Part-time,0.21,High,High
2023,ML Engineer,141882,Manufacturing,Miami,Junior,High,"Python, SQL, Stats, TensorFlow, PyTorch",238,No,5.5,Medium (50-500 employees),Internship,0.1,High,Medium
2018,AI Researcher,72029,Education,Seattle,Mid,Low,"AI, Research, TensorFlow, PyTorch",83,Hybrid,5.9,Medium (50-500 employees),Part-time,0.18,Medium,High
2019,AI Engineer,81151,Technology,San Jose,Senior,High,"AI, Research, TensorFlow, PyTorch",93,No,19.1,Small (<50 employees),Internship,0.21,High,High
2016,Salesforce Developer,125260,Research,New York,Mid,Low,"Sales, CRM",274,No,15.8,Medium (50-500 employees),Internship,0.58,Medium,Low
2022,AI Researcher,147552,Finance,San Francisco,Senior,Medium,"Sales, CRM, TensorFlow, PyTorch",398,Yes,15.6,Large (>500 employees),Part-time,0.65,High,Medium
2024,AI Researcher,122803,Manufacturing,Houston,Junior,Low,"Python, ML, AI, TensorFlow, PyTorch",210,Hybrid,17.6,Large (>500 employees),Part-time,0.14,Low,High
2013,Data Scientist,126930,Research,Houston,Senior,Medium,"Sales, CRM",183,Yes,13.0,Small (<50 employees),Full-time,0.68,High,Medium
2021,AI Researcher,81522,Research,Boston,Junior,High,"Python, ML, AI, TensorFlow, PyTorch",346,No,7.8,Small (<50 employees),Part-time,0.95,High,Medium
2024,Data Scientist,78831,Finance,San Francisco,Junior,Medium,"AI, Research",212,Hybrid,20.4,Medium (50-500 employees),Part-time,0.61,High,Medium
2010,Data Scientist,127897,Healthcare,Seattle,Mid,High,"Python, SQL, Stats",417,Yes,15.9,Medium (50-500 employees),Contract,0.43,High,Medium
2021,Data Scientist,118879,Technology,San Francisco,Senior,Medium,"Sales, CRM",382,Hybrid,12.6,Small (<50 employees),Contract,0.41,Medium,Medium
2012,AI Engineer,136229,Healthcare,New York,Senior,Medium,"Sales, CRM, TensorFlow, PyTorch",375,Hybrid,14.2,Medium (50-500 employees),Part-time,0.78,Low,High
2021,AI Engineer,127534,Finance,San Francisco,Mid,Low,"AI, Research, TensorFlow, PyTorch",181,Yes,12.8,Small (<50 employees),Full-time,0.74,High,High
2024,ML Engineer,71120,Technology,Austin,Mid,Low,"Sales, CRM, TensorFlow, PyTorch",163,Yes,20.6,Medium (50-500 employees),Full-time,0.76,Low,High
2019,AI Engineer,145924,Technology,Chicago,Junior,Medium,"Python, SQL, Stats, TensorFlow, PyTorch",334,Hybrid,14.8,Large (>500 employees),Internship,0.53,Medium,High
2024,ML Engineer,140595,Research,Seattle,Junior,Low,"AI, Research, TensorFlow, PyTorch",317,No,6.8,Medium (50-500 employees),Contract,0.59,High,Medium
2011,AI Researcher,61836,Technology,San Francisco,Junior,Medium,"AI, Research, TensorFlow, PyTorch",226,Hybrid,4.5,Small (<50 employees),Internship,0.48,High,High
2021,AI Engineer,147276,Technology,Miami,Mid,Low,"AI, Research, TensorFlow, PyTorch",275,Hybrid,17.9,Medium (50-500 employees),Full-time,0.75,High,Medium
2021,AI Researcher,96730,Research,Austin,Mid,High,"Python, SQL, Stats, TensorFlow, PyTorch",181,No,1.7,Large (>500 employees),Contract,0.84,Low,Medium
2024,ML Engineer,69659,Finance,New York,Senior,High,"AI, Research, TensorFlow, PyTorch",102,Yes,23.2,Large (>500 employees),Full-time,0.84,High,Medium
2023,AI Engineer,146004,Finance,San Jose,Mid,Low,"Sales, CRM, TensorFlow, PyTorch",98,No,1.9,Small (<50 employees),Contract,0.62,High,Medium
2010,Data Scientist,66603,Education,Houston,Junior,Medium,"AI, Research",158,Hybrid,10.1,Small (<50 employees),Full-time,0.46,High,High
2024,AI Researcher,114444,Healthcare,Chicago,Senior,Medium,"AI, Research, TensorFlow, PyTorch",144,No,13.2,Small (<50 employees),Contract,0.14,High,Low
2013,DL Engineer,68886,Retail,New York,Mid,Low,"Sales, CRM, TensorFlow, PyTorch",52,Hybrid,20.6,Small (<50 employees),Part-time,0.74,Medium,Low
2023,AI Researcher,143291,Retail,Seattle,Senior,Medium,"AI, Research, TensorFlow, PyTorch",87,Hybrid,4.5,Small (<50 employees),Full-time,0.44,Low,High
2011,AI Researcher,112096,Healthcare,Boston,Mid,Low,"AI, Research, TensorFlow, PyTorch",218,Yes,22.9,Small (<50 employees),Internship,0.73,Medium,High
2023,AI Researcher,94252,Finance,Austin,Senior,High,"Python, SQL, Stats, TensorFlow, PyTorch",110,Yes,23.3,Medium (50-500 employees),Contract,0.64,Low,Low
2014,AI Researcher,119164,Manufacturing,Miami,Junior,Medium,"AI, Research, TensorFlow, PyTorch",325,No,15.3,Large (>500 employees),Full-time,0.7,Low,Medium
2014,Data Scientist,65841,Healthcare,Chicago,Junior,High,"Sales, CRM",301,Yes,20.0,Large (>500 employees),Part-time,0.29,High,High
